2025-11-22 21:40:52,025 - VirtualSensor01 - INFO - Starting VirtualSensor01 - Connecting to https://eu.thingsboard.cloud:1883
2025-11-22 21:40:52,051 - VirtualSensor01 - ERROR - Failed to start sensor: [Errno 11001] getaddrinfo failed
2025-11-22 21:41:35,749 - VirtualSensor01 - INFO - Starting VirtualSensor01 - Connecting to eu.thingsboard.cloud:1883
2025-11-22 21:41:36,061 - VirtualSensor01 - INFO - Connected to ThingsBoard successfully
2025-11-22 21:41:36,069 - VirtualSensor01 - INFO - Subscribed to v1/devices/me/attributes
2025-11-22 21:41:36,071 - VirtualSensor01 - INFO - Requested shared attributes
2025-11-22 21:41:36,221 - VirtualSensor01 - INFO - Received message on v1/devices/me/attributes/response/1: {}
2025-11-22 21:41:37,963 - VirtualSensor01 - INFO - Starting telemetry loop
2025-11-22 21:41:37,963 - VirtualSensor01 - INFO - Sensor started successfully
2025-11-22 21:41:37,965 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.16, 'humidity': 54.86}
2025-11-22 21:41:42,973 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.55, 'humidity': 65.41}
2025-11-22 21:41:47,979 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.01, 'humidity': 48.01}
2025-11-22 21:41:52,986 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.09, 'humidity': 37.76}
2025-11-22 21:41:57,996 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.06, 'humidity': 40.4}
2025-11-22 21:42:03,000 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.05, 'humidity': 64.64}
2025-11-22 21:42:08,011 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.36, 'humidity': 51.23}
2025-11-22 21:42:13,013 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.48, 'humidity': 58.97}
2025-11-22 21:42:18,017 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.38, 'humidity': 37.68}
2025-11-22 21:42:23,032 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.24, 'humidity': 63.51}
2025-11-22 21:42:28,044 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.87, 'humidity': 42.03}
2025-11-22 21:42:33,058 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.11, 'humidity': 63.89}
2025-11-22 21:42:38,073 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.31, 'humidity': 47.54}
2025-11-22 21:42:43,080 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.57, 'humidity': 53.12}
2025-11-22 21:42:48,095 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.07, 'humidity': 48.96}
2025-11-22 21:42:53,106 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.53, 'humidity': 51.56}
2025-11-22 21:42:58,121 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.91, 'humidity': 41.5}
2025-11-22 21:43:03,129 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.68, 'humidity': 53.67}
2025-11-22 21:43:08,136 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.74, 'humidity': 62.61}
2025-11-22 21:43:13,140 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.7, 'humidity': 58.53}
2025-11-22 21:43:18,144 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.27, 'humidity': 46.62}
2025-11-22 21:43:23,147 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.54, 'humidity': 60.25}
2025-11-22 21:43:28,149 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.79, 'humidity': 51.4}
2025-11-22 21:43:33,151 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.07, 'humidity': 42.93}
2025-11-22 21:43:38,165 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.3, 'humidity': 59.26}
2025-11-22 21:43:43,174 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.65, 'humidity': 51.68}
2025-11-22 21:43:48,183 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 15.23, 'humidity': 48.53}
2025-11-22 21:43:53,186 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.46, 'humidity': 63.74}
2025-11-22 21:43:58,193 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.67, 'humidity': 37.33}
2025-11-22 21:44:03,201 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.42, 'humidity': 41.42}
2025-11-22 21:44:08,206 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.03, 'humidity': 52.15}
2025-11-22 21:44:13,213 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.95, 'humidity': 63.36}
2025-11-22 21:44:18,215 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.84, 'humidity': 39.14}
2025-11-22 21:44:23,220 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.58, 'humidity': 42.99}
2025-11-22 21:44:28,236 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.86, 'humidity': 38.17}
2025-11-22 21:44:33,245 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.8, 'humidity': 38.37}
2025-11-22 21:44:38,249 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 17.48, 'humidity': 37.03}
2025-11-22 21:44:43,261 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.53, 'humidity': 49.28}
2025-11-22 21:44:48,271 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.33, 'humidity': 47.39}
2025-11-22 21:44:53,284 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.16, 'humidity': 44.31}
2025-11-22 21:44:58,290 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.92, 'humidity': 48.41}
2025-11-22 21:45:03,297 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 24.96, 'humidity': 47.19}
2025-11-22 21:45:08,308 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.49, 'humidity': 36.81}
2025-11-22 21:45:13,323 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.67, 'humidity': 58.79}
2025-11-22 21:45:18,325 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.13, 'humidity': 45.67}
2025-11-22 21:45:23,340 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.14, 'humidity': 51.66}
2025-11-22 21:45:28,350 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.16, 'humidity': 64.3}
2025-11-22 21:45:33,357 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.96, 'humidity': 58.24}
2025-11-22 21:45:38,367 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.18, 'humidity': 54.56}
2025-11-22 21:45:43,381 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 22.79, 'humidity': 55.98}
2025-11-22 21:45:48,388 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 20.92, 'humidity': 48.73}
2025-11-22 21:45:53,403 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 18.04, 'humidity': 48.98}
2025-11-22 21:45:58,417 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.33, 'humidity': 44.39}
2025-11-22 21:46:03,430 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.77, 'humidity': 63.3}
2025-11-22 21:46:08,440 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.68, 'humidity': 42.24}
2025-11-22 21:46:13,446 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.35, 'humidity': 43.23}
2025-11-22 21:46:18,457 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 23.77, 'humidity': 37.87}
2025-11-22 21:46:23,464 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 19.72, 'humidity': 54.46}
2025-11-22 21:46:28,476 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 25.51, 'humidity': 36.77}
2025-11-22 21:46:33,487 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 16.37, 'humidity': 58.72}
2025-11-22 21:46:38,496 - VirtualSensor01 - INFO - Published telemetry: {'temperature': 21.51, 'humidity': 55.75}
